"Notes"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	Count
	"1999"	"1999"	"< 1 year"	"1"	867
	"1999"	"1999"	"1-4 years"	"1-4"	2963
	"1999"	"1999"	"5-9 years"	"5-9"	2225
	"1999"	"1999"	"10-14 years"	"10-14"	2447
	"1999"	"1999"	"15-19 years"	"15-19"	3877
	"1999"	"1999"	"20-24 years"	"20-24"	5971
	"1999"	"1999"	"25-29 years"	"25-29"	10031
	"1999"	"1999"	"30-34 years"	"30-34"	16870
	"1999"	"1999"	"35-39 years"	"35-39"	29519
	"1999"	"1999"	"40-44 years"	"40-44"	49291
	"1999"	"1999"	"45-49 years"	"45-49"	71466
	"1999"	"1999"	"50-54 years"	"50-54"	99642
	"1999"	"1999"	"55-59 years"	"55-59"	121584
	"1999"	"1999"	"60-64 years "	"60-64"	144060
	"1999"	"1999"	"65-69 years"	"65-69"	178393
	"1999"	"1999"	"70-74 years"	"70-74"	198818
	"1999"	"1999"	"75-79 years"	"75-79"	179763
	"1999"	"1999"	"80-84 years"	"80-84"	119821
	"1999"	"1999"	"85+ years"	"85+"	94543
"Total"	"1999"	"1999"			1332151
	"2000"	"2000"	"< 1 year"	"1"	899
	"2000"	"2000"	"1-4 years"	"1-4"	3095
	"2000"	"2000"	"5-9 years"	"5-9"	2300
	"2000"	"2000"	"10-14 years"	"10-14"	2520
	"2000"	"2000"	"15-19 years"	"15-19"	4073
	"2000"	"2000"	"20-24 years"	"20-24"	6114
	"2000"	"2000"	"25-29 years"	"25-29"	10255
	"2000"	"2000"	"30-34 years"	"30-34"	16960
	"2000"	"2000"	"35-39 years"	"35-39"	30079
	"2000"	"2000"	"40-44 years"	"40-44"	50932
	"2000"	"2000"	"45-49 years"	"45-49"	74998
	"2000"	"2000"	"50-54 years"	"50-54"	106570
	"2000"	"2000"	"55-59 years"	"55-59"	127403
	"2000"	"2000"	"60-64 years "	"60-64"	148179
	"2000"	"2000"	"65-69 years"	"65-69"	177290
	"2000"	"2000"	"70-74 years"	"70-74"	198644
	"2000"	"2000"	"75-79 years"	"75-79"	180907
	"2000"	"2000"	"80-84 years"	"80-84"	123270
	"2000"	"2000"	"85+ years"	"85+"	96835
"Total"	"2000"	"2000"			1361323
	"2001"	"2001"	"< 1 year"	"1"	982
	"2001"	"2001"	"1-4 years"	"1-4"	3287
	"2001"	"2001"	"5-9 years"	"5-9"	2306
	"2001"	"2001"	"10-14 years"	"10-14"	2756
	"2001"	"2001"	"15-19 years"	"15-19"	4312
	"2001"	"2001"	"20-24 years"	"20-24"	6616
	"2001"	"2001"	"25-29 years"	"25-29"	10288
	"2001"	"2001"	"30-34 years"	"30-34"	17702
	"2001"	"2001"	"35-39 years"	"35-39"	30235
	"2001"	"2001"	"40-44 years"	"40-44"	53170
	"2001"	"2001"	"45-49 years"	"45-49"	77945
	"2001"	"2001"	"50-54 years"	"50-54"	113710
	"2001"	"2001"	"55-59 years"	"55-59"	135239
	"2001"	"2001"	"60-64 years "	"60-64"	154953
	"2001"	"2001"	"65-69 years"	"65-69"	182758
	"2001"	"2001"	"70-74 years"	"70-74"	202956
	"2001"	"2001"	"75-79 years"	"75-79"	189150
	"2001"	"2001"	"80-84 years"	"80-84"	130119
	"2001"	"2001"	"85+ years"	"85+"	102463
"Total"	"2001"	"2001"			1420947
	"2002"	"2002"	"< 1 year"	"1"	964
	"2002"	"2002"	"1-4 years"	"1-4"	3273
	"2002"	"2002"	"5-9 years"	"5-9"	2387
	"2002"	"2002"	"10-14 years"	"10-14"	2678
	"2002"	"2002"	"15-19 years"	"15-19"	4434
	"2002"	"2002"	"20-24 years"	"20-24"	6872
	"2002"	"2002"	"25-29 years"	"25-29"	10460
	"2002"	"2002"	"30-34 years"	"30-34"	17882
	"2002"	"2002"	"35-39 years"	"35-39"	29479
	"2002"	"2002"	"40-44 years"	"40-44"	53435
	"2002"	"2002"	"45-49 years"	"45-49"	80604
	"2002"	"2002"	"50-54 years"	"50-54"	114667
	"2002"	"2002"	"55-59 years"	"55-59"	144420
	"2002"	"2002"	"60-64 years "	"60-64"	160689
	"2002"	"2002"	"65-69 years"	"65-69"	182165
	"2002"	"2002"	"70-74 years"	"70-74"	198959
	"2002"	"2002"	"75-79 years"	"75-79"	187924
	"2002"	"2002"	"80-84 years"	"80-84"	134522
	"2002"	"2002"	"85+ years"	"85+"	103289
"Total"	"2002"	"2002"			1439103
	"2003"	"2003"	"< 1 year"	"1"	1004
	"2003"	"2003"	"1-4 years"	"1-4"	3249
	"2003"	"2003"	"5-9 years"	"5-9"	2254
	"2003"	"2003"	"10-14 years"	"10-14"	2744
	"2003"	"2003"	"15-19 years"	"15-19"	4451
	"2003"	"2003"	"20-24 years"	"20-24"	6979
	"2003"	"2003"	"25-29 years"	"25-29"	10466
	"2003"	"2003"	"30-34 years"	"30-34"	17969
	"2003"	"2003"	"35-39 years"	"35-39"	29401
	"2003"	"2003"	"40-44 years"	"40-44"	54348
	"2003"	"2003"	"45-49 years"	"45-49"	83679
	"2003"	"2003"	"50-54 years"	"50-54"	115973
	"2003"	"2003"	"55-59 years"	"55-59"	147612
	"2003"	"2003"	"60-64 years "	"60-64"	164997
	"2003"	"2003"	"65-69 years"	"65-69"	182876
	"2003"	"2003"	"70-74 years"	"70-74"	193288
	"2003"	"2003"	"75-79 years"	"75-79"	187917
	"2003"	"2003"	"80-84 years"	"80-84"	137509
	"2003"	"2003"	"85+ years"	"85+"	106636
"Total"	"2003"	"2003"			1453352
	"2004"	"2004"	"< 1 year"	"1"	1023
	"2004"	"2004"	"1-4 years"	"1-4"	3524
	"2004"	"2004"	"5-9 years"	"5-9"	2325
	"2004"	"2004"	"10-14 years"	"10-14"	2866
	"2004"	"2004"	"15-19 years"	"15-19"	4590
	"2004"	"2004"	"20-24 years"	"20-24"	7248
	"2004"	"2004"	"25-29 years"	"25-29"	10744
	"2004"	"2004"	"30-34 years"	"30-34"	18393
	"2004"	"2004"	"35-39 years"	"35-39"	29176
	"2004"	"2004"	"40-44 years"	"40-44"	54844
	"2004"	"2004"	"45-49 years"	"45-49"	86445
	"2004"	"2004"	"50-54 years"	"50-54"	119619
	"2004"	"2004"	"55-59 years"	"55-59"	152967
	"2004"	"2004"	"60-64 years "	"60-64"	170945
	"2004"	"2004"	"65-69 years"	"65-69"	186540
	"2004"	"2004"	"70-74 years"	"70-74"	190297
	"2004"	"2004"	"75-79 years"	"75-79"	186067
	"2004"	"2004"	"80-84 years"	"80-84"	141327
	"2004"	"2004"	"85+ years"	"85+"	107956
"Total"	"2004"	"2004"			1476896
	"2005"	"2005"	"< 1 year"	"1"	992
	"2005"	"2005"	"1-4 years"	"1-4"	3428
	"2005"	"2005"	"5-9 years"	"5-9"	2309
	"2005"	"2005"	"10-14 years"	"10-14"	2764
	"2005"	"2005"	"15-19 years"	"15-19"	4777
	"2005"	"2005"	"20-24 years"	"20-24"	7466
	"2005"	"2005"	"25-29 years"	"25-29"	11488
	"2005"	"2005"	"30-34 years"	"30-34"	18068
	"2005"	"2005"	"35-39 years"	"35-39"	29431
	"2005"	"2005"	"40-44 years"	"40-44"	54910
	"2005"	"2005"	"45-49 years"	"45-49"	88228
	"2005"	"2005"	"50-54 years"	"50-54"	122933
	"2005"	"2005"	"55-59 years"	"55-59"	160733
	"2005"	"2005"	"60-64 years "	"60-64"	176176
	"2005"	"2005"	"65-69 years"	"65-69"	190069
	"2005"	"2005"	"70-74 years"	"70-74"	190097
	"2005"	"2005"	"75-79 years"	"75-79"	186195
	"2005"	"2005"	"80-84 years"	"80-84"	143695
	"2005"	"2005"	"85+ years"	"85+"	112239
"Total"	"2005"	"2005"			1505998
	"2006"	"2006"	"< 1 year"	"1"	1063
	"2006"	"2006"	"1-4 years"	"1-4"	3397
	"2006"	"2006"	"5-9 years"	"5-9"	2372
	"2006"	"2006"	"10-14 years"	"10-14"	2847
	"2006"	"2006"	"15-19 years"	"15-19"	4703
	"2006"	"2006"	"20-24 years"	"20-24"	7501
